"TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
NA,3.3,0.23,0.37,1.8,0.043,86,69,0.9933,3.38,0.31,10.8,1,6,4
NA,8.7,0.3,0.3,13.9,0.053,48.5,314,0.94736,2.73,2,10.3,0,8,4
NA,1.2,1.01,0.32,9.6,0.038,79,277,0.99074,4.29,0.67,9,-1,7,1
NA,7,0.21,0.49,11,0.048,400,114,0.95914,3.17,0.48,10.8,0,8,3
NA,7.9,0.16,1.32,7.4,0.05,109,152,0.99612,3.12,1.28,3.8,1,8,0
NA,7.4,0.345,0.27,10.1,0.056,38,187,0.99486,2.14,0.12,14.4,0,7,3
NA,7,0.74,0.96,11.7,0.4,293,185,0.99266,3.28,0.48,16.4,0,7,1
NA,8,0.55,0.57,10.4,0.585,176,134,0.98409,3.12,0.53,10.7,-1,9,0
NA,6.7,0.14,0.49,1.4,0.24,6,149,1.01696,2.92,0.42,10.8,0,7,2
NA,6.4,0.29,0.18,3,0.04,21,186,0.99736,4.39,1.42,9.2,1,7,1
NA,6.9,0.32,1.33,11,0.039,29,98,1.01251,4.64,0.46,9.2,-1,7,3
NA,5.6,0.12,0.24,4.8,0.216,24,72,1.024,3.23,3.32,12.6,-1,6,0
NA,7.9,0.32,0.74,1.6,0.582,201,225,0.95684,4.2,0.69,11.2,1,9,0
NA,6.8,1.19,0.98,1.2,0.034,6,68,1.02652,3.14,0.37,16.8,-1,7,1
NA,1.2,0.3,0.21,31.15,0.043,33,153,0.99244,3.96,1.06,6.3,0,8,0
NA,8.4,0.725,0.11,1.9,0.157,35,63,0.9965,3.19,2.05,9.6,0,9,0
NA,8,1.2,0.32,12.6,0.404,31,213,0.97841,3.66,0.56,9.3,0,9,0
NA,6.8,1.36,0.3,20.7,0.043,110,347,1.03284,3.17,0.46,24.4,0,7,1
NA,14.3,0.32,0.25,41,0.013,13,349,0.9957,4.65,1.44,12.2,0,6,2
NA,6.6,0.82,0.24,23.8,0.048,55,347,0.97506,3.2,0.38,15.2,0,7,1
NA,5.7,0.16,0.27,44.4,0.607,227,98,1.03142,2.24,0.34,7.9,1,6,2
NA,28.3,0.645,0.03,18.8,0.086,195,39,0.9969,2.93,0.66,11.6,0,8,3
NA,4.7,0.98,0.35,24.7,0.235,11,111,0.9926,2.19,0.38,12.4,0,9,1
NA,5.8,0.21,0.25,15.6,0.038,44,227,0.96472,3.28,0.49,9.4,0,7,2
NA,8.9,0.33,0.84,61.55,0.038,86,138,0.96369,3.03,0.09,8.9,0,8,0
NA,10.6,0.56,0.32,1.1,0.053,43,107,0.9923,2.45,0.51,10.2,0,9,3
NA,10.9,1.2,1.22,27.9,0.12,207,17,1.0002,4.2,0.76,11.7,0,12,0
NA,8.8,0.2,1.15,92.4,0.053,167,214,1.026,2.99,0.79,8.8,-2,9,1
NA,6.3,1.15,0.24,91.4,0.052,36,135,0.99374,2.52,0.68,9.8,-2,7,1
NA,6.5,0.62,1.82,8,0.046,42,431,0.97319,2.68,0.47,7.4,2,7,2
NA,9.3,0.31,0.31,59.8,0.379,15,89,0.9976,2.48,0.57,6.3,1,8,2
NA,0.3,0.26,0.57,69.5,0.54,170,83,0.98867,3.09,0.82,11.7,0,7,0
NA,6,0.25,0.28,37.6,0.042,37,132,0.99489,4.01,0.52,9.4,-1,7,0
NA,9,0.35,1.5,51.9,0.252,282,115,0.9912,3.35,0.51,11.63333333,1,6,2
NA,8.7,0.31,0.27,5.6,0.079,91,192,0.96927,3.65,0.52,13.3,0,9,0
NA,7.6,0.32,0.37,1.8,0.042,13,233,0.9945,4.55,0.72,10.5,0,7,1
NA,6.6,0.24,0.35,45.5,0.031,36,135,0.9938,3.24,0.56,14.5,-1,7,1
NA,7.2,0.21,1.15,25.4,0.043,186,213,0.98368,3.19,0.5,9.6,0,8,1
NA,7.4,0.32,0.62,6,0.022,40,125,0.9928,3.13,2.31,5.2,-1,8,1
NA,10.6,0.34,0.35,1.4,0.047,31,179,0.998,2.87,0.47,8.3,0,7,2
NA,4.6,0.24,0.43,1.3,0.043,71,462,0.95428,3.19,0.49,14.7,1,8,2
NA,3.9,0.53,1.21,2,0.058,243,313,1.01599,3.21,0.57,12.4,-2,8,0
NA,16,0.43,0.34,4.5,0.068,68,104,1.0247,3.19,2.03,9.3,0,7,2
NA,15.8,0.86,0.38,41,0.625,32,132,0.98895,3.28,0.79,12.4,0,6,3
NA,7.5,0.55,0.31,22.3,0.035,56,99,0.98914,3.26,0.4,10.4,1,7,1
NA,13.6,0.56,0.93,10,0.037,38,379,0.99642,4.53,0.35,15.7,-1,7,1
NA,6.7,0.41,0.15,41.1,0.033,25,78,0.94975,3.05,0.48,0.1,1,7,3
NA,0.5,0.98,0.53,2.1,0.084,152,193,1.01881,2.19,0.97,6.3,-1,9,1
NA,5.8,0.23,1.78,62.3,0.044,35,152,0.9961,3.31,0.56,9.4,0,6,1
NA,2.8,0.46,0.44,39.3,0.052,4,8,1.05282,3.33,1.67,6.9,-2,11,0
NA,12.5,0.43,1.78,3.6,0.086,7,45,0.96801,3.57,0.79,6.4,1,7,2
NA,7.4,0.18,0.29,52.2,0.035,260,366,0.96443,3.54,0.6,10.5,0,8,4
NA,7.1,0.43,0.35,46.7,0.033,16,78,0.993,2.91,0.59,5.4,0,8,3
NA,3,0.34,0.46,29.2,0.05,5,13,0.9974,4.32,0.79,10.2,0,11,1
NA,8.1,0.24,1.86,11,0.043,41,586,0.98863,2.99,1.93,10,2,9,0
NA,17.1,0.41,0.66,7.2,0.073,77,194,0.9976,3.05,0.46,8.7,-1,8,1
NA,7.7,0.27,1.58,1.4,0.608,15,102,0.9929,3.26,0.53,10.4,-1,8,1
NA,12.4,0.27,1.42,1.6,0.04,32,86,1.01383,2.82,0.9,7.8,0,7,1
NA,0.6,2.09,0.75,13.65,0.054,225,16,1.01003,2.97,0.63,9.6,0,8,2
NA,6.7,1.21,0.28,29,0.286,21,105,0.9949,3.27,0.37,8.6,0,8,1
NA,6.8,0.23,0.36,46.8,0.197,37,130,0.95194,5.1,0.43,10.1,0,7,4
NA,7.5,1.64,0.32,19.8,0.036,25,123,0.9962,2.06,0.5,9.7,1,8,2
NA,7.3,0.3,0.29,2.1,0.048,37,142,0.98956,5.01,1.36,12.6,0,7,4
NA,6.3,1.24,0.32,1.6,0.04,155,189,1.02361,3.24,2.18,11.3,-1,7,1
NA,10.9,0.23,0.31,5.9,0.003,35,88,0.97137,2.88,0.46,8.4,0,7,0
NA,1.7,0.41,0.3,3.2,0.03,49,357,0.9927,4.44,0.38,11.7,0,7,0
NA,6,0.26,1.35,2.4,0.041,35,115,0.98936,3.19,0.44,18.8,-1,8,2
NA,0.2,0.43,0.11,1.1,0.029,165,51,0.93069,2.57,0.48,15.5,-1,6,1
NA,15.9,1.05,0.35,10.7,0.551,26,239,0.9984,3.6,0.49,9.1,-1,9,3
NA,6.8,0.25,2.5,3.1,0.547,92,123,0.9951,3.03,0.61,8.6,0,7,2
NA,6.7,1.92,0.42,5.5,0.051,29,264,0.9973,3.42,1.31,10.5,0,8,2
NA,6.8,0.18,0.3,138.2,0.15,88,443,0.99808,3.6,0.8,3.6,-2,7,2
NA,17.5,0.34,0.5,3.7,0.174,6,12,0.997,3.19,0.7,12.1,1,11,0
NA,7.2,1.74,0.24,39.9,0.787,46,121,1.00183,3.44,0.61,11.7,0,7,1
NA,9.5,0.88,1.43,6.4,0.057,25,152,0.97526,3.53,0.45,10.5,-1,7,1
NA,12.7,0.27,0.32,50.1,0.062,24,102,0.97956,3.41,0.79,6.1,0,7,2
NA,6.2,0.2,1.68,1,0.031,198,73,0.99032,3.42,0.98,8.7,0,7,2
NA,9.1,0.55,0.45,23.9,0.049,18,207,0.9974,2.11,0.5,6.1,0,7,1
NA,7.4,0.24,1.46,1.3,0.047,46,144,0.98881,2.31,0.47,17.9,0,7,0
NA,2.3,0.41,0.4,2.1,0.227,8,153,1.0343,4.09,0.74,10.4,0,8,0
NA,0.5,0.23,0.31,24.1,0.16,312,96,0.98613,2.56,0.46,15.6,2,7,3
NA,8.4,0.26,0.56,2.2,0.026,108,104,0.96778,3.38,0.52,17.1,1,7,4
NA,6.8,0.56,0.41,8.5,0.22,79.5,183,0.99742,2.41,0.78,4.7,-1,7,0
NA,10.9,1.13,0.96,1.1,0.556,286,84,0.9927,2.58,0.59,14.4,-1,7,1
NA,6.7,1.62,1.33,18,0.639,127,150,0.9968,3.22,0.51,9.9,0,7,2
NA,7.1,0.32,0.29,43.2,0.053,20,31,0.99463,3.27,0.64,7.8,1,8,2
NA,6.6,0.24,0.86,34.5,0.169,143,140,0.99734,3.25,1.4,16.2,-1,7,1
NA,8.3,0.43,0.1,67.1,0.081,45,202,0.9983,2.61,0.53,10,0,9,0
NA,4.4,0.01,0.25,12.9,0.033,58,54,0.96419,3.27,0.55,15.5,1,8,3
NA,6.9,2.38,0.24,21.8,0.122,18,147,0.99315,3.42,0.62,10.4,1,8,3
NA,7.4,0.29,0.32,2.7,0.057,30,107,0.98127,3.31,0.77,9.9,0,8,3
NA,9.2,0.19,0.46,2,0.047,16,49,0.99517,3.09,0.49,10,-1,10,1
NA,8,0.54,0.61,65.5,0.055,41,103,0.99002,3,0.53,16.4,-1,9,0
NA,0.2,0.26,0.26,21.9,0.036,578,214,0.9986,4.65,0.5,10,0,8,1
NA,15.5,0.2,1.37,10.5,0.015,19,210,0.98493,4.2,0.55,12.05,-1,6,0
NA,4.8,0.75,0.28,6.6,0.134,146.5,322,0.96924,3.38,0.73,11.3,-1,5,1
NA,8.2,0.22,0.3,1.8,0.432,110,185,0.9933,3.08,0.5,14.4,1,9,4
NA,7.3,0.23,0.26,61,0.09,7,135,0.9944,3.01,0.64,5.6,1,8,1
NA,7.6,0.21,0.41,8.1,0.112,14,543,0.96566,2.96,0.53,13.4,0,10,2
NA,7,0.87,0.4,1.1,0.058,30,93,1.02299,2.23,0.48,12,-1,8,1
NA,9.4,2.085,0.2,2.4,0.355,68,143,0.97286,3.28,0.58,6.8,-1,10,0
NA,3.4,0.42,1.01,2.4,0.061,19,74,0.99184,4.46,0.55,10.9,1,7,2
NA,6.7,0.42,0.46,9.7,0.054,67,191,1.00612,2.22,0.5,9,1,8,1
NA,7.2,0.31,0.26,5.8,0.05,37,157,0.99625,2.7,0.01,11,0,8,2
NA,11.7,0.23,0.56,73.15,0.063,204.5,693,1.00365,4.35,2.11,9.3,1,10,3
NA,6.1,0.47,0.25,6.9,0.061,57,21,0.9955,3.19,0.4,9.7,0,7,1
NA,7.4,0.66,1.2,43.6,0.037,290,152,0.96874,3.25,0.37,10.4,-1,8,3
NA,6.8,0.3,0.95,84.2,0.033,45,150,0.94879,3.04,0.66,11.8,0,7,1
NA,6.6,0.88,0.29,15,0.138,41,168,0.95668,3.2,1.08,8.7,0,7,3
NA,16.4,1.32,0.65,41,0.315,23,20,0.9986,2.89,0.5,8.2,1,12,0
NA,7.3,1.44,2.04,12.8,0.073,73,253,0.94876,4.19,0.71,13.6,0,8,2
NA,7.1,1.85,0.98,33.3,0.045,88,587,0.96586,3.16,0.49,1.4,2,8,4
NA,6.5,0.33,0.3,3.8,0.036,190,88,0.9442,3.25,2.01,12.5,-1,7,2
NA,7.2,0.92,0.52,10.4,0.084,34,123,0.9459,2.96,0.44,10.5,1,8,1
NA,7,0.4,0.16,2,0.364,10,203,0.98091,3.4,0.47,16.6,1,8,2
NA,6.5,0.46,0.41,16.8,0.084,29,233,0.9923,4.41,0.51,13.8,0,7,1
NA,8.9,1.84,0.51,31.9,0.052,403,27,0.995,4.33,0.14,9.9,-1,10,0
NA,6.8,1.285,1.48,8.5,0.06,10,190,1.01657,2.67,1.97,9.5,-1,8,2
NA,8.2,1.42,0.28,1.8,0.047,71,187,1.03856,3.13,0.5,16.8,-1,9,1
NA,6.4,0.31,0.66,18.3,0.044,67,101,0.9934,3.29,0.38,9,0,7,2
NA,19.2,1.84,0.32,8.7,0.035,34,451,0.99144,2.45,0.6,12.9,0,8,3
NA,22.7,0.26,2.56,4.7,0.054,40,400,1.0338,4.73,0.46,10.8,2,7,3
NA,0.4,1.45,0.71,2.3,0.045,295,115,1.00802,3.17,0.43,8.8,0,9,1
NA,0.5,0.17,0.31,2.5,0.077,13,157,0.993,2.79,0.37,9.3,0,9,2
NA,17.5,1.395,0.41,6.5,0.317,29,113,0.99188,3.13,1.2,18.6,0,7,1
NA,8,0.22,0.42,8.2,0.894,73,589,1.0003,3.81,0.69,8.6,0,9,2
NA,11.5,0.3,0.73,6.1,0.052,19,189,0.9923,3.6,0.56,11.2,-1,8,0
NA,9.3,1.03,0.26,13.2,0.037,35,408,1.02106,3.29,1.99,9.8,-1,8,0
NA,7,0.21,0.59,8.5,0.033,31,177,0.9953,3.22,0.56,2.3,-1,8,0
NA,7.8,0.16,0.25,1.4,0.218,214,107,0.94765,2.82,0.44,11.1,-1,7,2
NA,17.1,0.14,0.76,60.1,0.625,26,139,1.01779,3.25,0.45,18.1,1,6,3
NA,2.3,0.53,0.93,35.6,0.054,65,163,1.03814,5.76,0.83,10.3,0,7,1
NA,18.1,0.705,0.96,1.8,0.054,15,63,0.99901,3,1.59,9.5,1,8,0
NA,11.4,1.375,0.04,2,0.087,12,67,0.99565,3.61,1.61,9.4,0,8,0
NA,6.4,0.24,3.19,5.3,0.409,57,161,0.9953,3.31,1.3,9.8,0,7,2
NA,6.6,0.52,0.36,35.9,0.138,41,536,0.95449,3.98,0.38,5.8,0,7,0
NA,16,0.35,0.32,4.7,0.282,18,156,0.99666,5.03,1.84,9,0,7,3
NA,16.1,0.24,0.29,44.9,0.034,17,117,0.99411,3.36,0.68,6.9,0,8,3
NA,7,0.42,0.19,48.9,0.071,177,172,0.99476,3.39,0.56,10.9,0,8,2
NA,6.2,0.25,1.97,19.25,0.046,203,831,0.99454,3.19,0.58,9.3,0,7,3
NA,3,0.44,1.36,19.3,0.049,47,177,0.95998,5.54,1.25,2.5,2,7,3
NA,7.4,1.18,0.27,7.7,0.04,83,96,0.9912,3.06,0.61,12.1,0,9,2
NA,6.8,0.52,0.33,1.8,0.304,45,168,1.03992,2.66,0.4,10.1,-1,7,0
NA,6.9,0.18,0.38,104.1,0.039,53,104,0.9943,4.25,0.42,14.3,1,7,3
NA,1,0.23,0.33,4.9,0.049,153,183,1.04921,4.41,0.9,9.8,1,8,3
NA,6.3,0.25,0.44,12.1,0.041,48,141,0.9968,3.18,0.52,9.5,-1,7,0
NA,19.7,0.4,0.36,17.2,0.039,47,130,0.99946,4.36,0.57,12.4,1,7,0
NA,6.3,0.69,0.42,6.6,0.048,35,161,1.00753,3.14,0.56,10.6,-1,8,0
NA,6.1,0.23,0.37,7.9,0.02,74,150,0.99488,2.86,0.49,5.4,1,7,4
NA,5,0.7,0.33,14.35,0.552,132,101,0.9988,2.93,0.38,12.8,1,8,2
NA,5.3,0.38,0.26,3.5,0.035,18,111,0.94238,3.18,0.47,14.1,2,7,0
NA,7.3,1.7,0.07,2.2,0.047,25,369,0.9948,2.66,0.79,9.1,-1,8,2
NA,6.2,0.25,0.65,3.7,0.049,42,568,0.9972,3.19,0.56,9.9,0,7,2
NA,6,0.86,1.81,2.6,0.038,56,189.5,0.99637,3.59,0.43,10.6,-1,6,1
NA,7.5,0.31,0.56,2.7,0.067,152,25,1.02427,3.24,0.71,13.6,0,8,0
NA,6.4,0.775,1.24,1.1,0.331,44,140,1.00548,3.17,0.5,16.7,-1,7,1
NA,2.8,2.74,0.28,46.1,0.045,29,93,0.98664,3.45,0.46,13.2,0,9,2
NA,7.6,0.28,0.33,2,0.112,78,483,0.97949,3.39,0.56,5.9,0,8,2
NA,0.4,0.36,0.22,14.3,0.092,45,132,0.99816,4.08,0.63,4,0,8,1
NA,7.2,1.69,0.26,2,0,9,343,0.9972,2.65,0.53,9.6,1,8,0
NA,10.4,0.15,0.36,60.5,0.053,31,134,1.0164,3.28,0.53,9.8,0,7,2
NA,1.5,0.16,0.27,24.5,0.496,25,135,0.97707,4.02,0.52,8.7,-2,8,0
NA,6.1,0.34,0.46,2.4,0.029,21,230,1.02431,3.29,0.46,9.2,0,7,0
NA,4,0.4,3.41,5.9,0.066,146,136,0.9932,3.3,0.96,9.8,1,8,3
NA,6.6,0.2,0.43,0.9,0.038,149,729,0.98598,3.24,0.46,10.6,0,6,2
NA,7.3,1.24,0.08,25,0.057,145,453,1.04535,2.54,0.36,10.3,0,9,3
NA,6.8,0.27,1.3,46.1,0.531,38,153,0.97853,3.24,0.52,0.9,-1,7,1
NA,7.7,0.44,0.38,11.2,0.031,343,167,0.97879,3.4,0.43,11.3,0,8,4
NA,6.9,0.2,1.88,8.2,0.169,78,167,0.99929,3.32,0.46,12.8,-1,8,0
NA,11.6,0.585,0.09,61.7,0.514,14,86,0.99264,3.64,0.94,9.4,0,6,1
NA,28.9,0.28,0.29,13.7,0.056,119,76,0.98249,2.1,0.44,8.7,-1,8,2
NA,7.4,0.3,0.61,12.9,0.377,25,116,0.9953,4.27,0.59,11.3,-2,7,1
NA,14.7,0.3,0.52,7.5,0.05,467,191,0.99366,3.17,1.57,6.9,1,7,1
NA,10.4,1.01,0.5,2.3,0.297,13,19,0.996,3.1,0.87,11.4,0,11,0
NA,5.8,0.6,0.22,1.3,0.046,18,66,0.99307,4.87,0.55,10.3,1,7,3
NA,6.1,1.76,0.36,5,0.042,17,133,1.02882,2.55,0.54,9.4,-1,7,0
NA,5.8,0.19,0.37,1.1,0.279,31,451,0.98942,3.53,0.48,11.4,0,6,2
NA,7.4,0.05,0.78,12.1,0.082,258,82,0.98074,4.52,1.57,14.7,-1,8,1
NA,4.9,1.05,1.25,57,0.036,31,40,0.9849,3.33,0.44,6.433333333,0,6,4
NA,6.2,0.45,1.63,13.1,0.091,3,140,0.95659,4.52,0.76,9,1,7,0
NA,8,0.43,1.12,12.4,0.168,29,190,1.01594,2.41,2.3,9.2,-1,9,3
NA,9.4,0.4,0.68,3.5,0.057,3,10,0.95612,2.21,0.71,17.2,-1,10,2
NA,17.8,0.61,0,5.3,0.625,168,8,0.96345,2.54,0.37,10.4,0,7,0
NA,6.1,0.3,0.58,119.3,0.049,258,187,0.9927,1.99,0.85,9.5,1,7,0
NA,11.6,1.59,0.34,1.6,0.311,33,176,0.9946,2.55,0.98,9.7,-2,10,2
NA,9.7,1.59,0.29,14.4,0.055,54,189,0.9991,3.17,1.07,8.9,1,7,2
NA,12.6,0.67,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,0,8,1
NA,7.4,0.18,0.3,1.5,0.003,38,316,0.96141,3.43,0.85,16.8,1,7,3
NA,0.9,0.34,0.57,2,0.216,29,134,0.99462,4.04,1.1,10.7,-1,7,0
NA,12.6,1.62,1.22,60.6,0.065,5,253,0.96459,3.27,3.75,11.2,-1,9,0
NA,4.6,0.35,1.41,2,0.045,41,131,1.00309,4.21,1,11.7,-1,8,4
NA,6.8,0.28,0.98,3.8,0.049,16,458,0.9969,3.28,1.93,9.5,0,8,0
NA,6.6,0.28,0.29,42.4,0.051,27,136,1.06875,3.07,0.99,6,-1,7,1
NA,5.9,0.51,1.3,1.4,0.141,52,119,0.9931,4.19,1.73,10.5,-1,6,1
NA,6.9,0.24,0.39,55.9,0.037,223,136,0.9928,2.66,0.44,15,-1,8,1
NA,10.4,0.27,0.47,7.6,1.228,35,432,1.03513,4.62,0.59,16.1,1,7,3
NA,9.2,0.28,0.28,17.75,0.043,17,139,1.01507,3.99,0.6,13.2,1,7,0
NA,17,1.44,0.83,6.1,0.046,37,119,0.99054,3.19,2.57,13.7,0,7,2
NA,11.1,1.43,1.74,7.7,0.28,30,141,0.9962,3.25,0.51,3.3,1,9,3
NA,5.6,0.64,1.25,48.1,0.043,21,159,0.9948,3.52,0.47,18.1,-1,8,0
NA,8.2,0.24,0.31,2.8,0.067,148,330,1.01812,2.53,0.44,11.7,0,7,0
NA,11.8,0.69,0.34,2.3,0.076,5,17,0.96222,3.36,0.49,3.3,0,10,0
NA,8.6,0.44,1.09,12.1,0.056,68,210,0.98551,4.26,1.19,14.2,-1,8,0
NA,5.9,2.83,0.36,6.6,0.039,213,805,0.96997,3.41,1.25,11.9,0,7,3
NA,7.3,0.04,0.3,40.2,0.044,15,144,0.99666,3.49,0.54,5.8,-1,7,2
NA,8.3,0.25,0.19,50.2,0.048,154,654,1.0001,3.03,0.52,9.2,0,9,1
NA,17.8,1.62,0.39,8,0.053,31,696.5,0.9924,2.5,0.72,9.8,1,7,0
NA,6.9,2.1,0.28,11.25,0.305,215,87,0.9922,3.02,0.41,12.4,0,7,0
NA,10.7,1.33,1.16,3.3,0.29,138,57,1.0001,3.3,0.37,8.8,-1,7,1
NA,19.7,0.55,0.28,1.7,0.073,21,165,1.0039,2.97,0.82,9.1,-1,8,1
NA,7.2,0.23,0.87,5.5,0.049,3,94,0.95055,3.2,0.53,4.7,0,8,1
NA,6,0.21,0.92,27.7,0.042,48,213,1.01362,3.24,0.54,10.8,1,7,1
NA,10.1,0.24,1.87,1.7,0.034,41,193,1.041,3.25,0.45,10.4,0,7,2
NA,7,1.63,0.24,1.9,0.04,29,144,0.97392,3.35,0.38,5.6,0,8,2
NA,8.9,0.48,0.53,4,0.101,3,16,0.99586,3.74,0.59,12.1,0,10,0
NA,7.8,0.55,0.25,12,0.454,112,186,0.98292,3.12,0.59,9.3,-1,7,0
NA,10.8,0.54,1.36,35.5,0.088,22,31,1.01861,4.19,0.44,10.6,0,10,0
NA,17.6,1.45,1.16,5.8,0.444,2,151,0.9946,3.06,0.6,16.3,-1,7,0
NA,7.4,0.325,0.28,5,0.087,14,491,0.97505,2.19,0.36,9.1,-2,7,0
NA,8.6,0.68,0.18,30.3,0.088,22,73,0.9979,3.29,1.4,5,-1,11,2
NA,11.5,0.38,1.49,2.2,0.11,14,138,0.9932,3.67,0.5,9.1,-1,7,1
NA,6.7,0.15,1.36,3.8,0.048,90,135,0.9946,3.97,1.73,10.2,-1,7,1
NA,6.4,0.31,0.54,2.5,0.039,47,192,0.98946,3.22,0.38,12.7,0,7,0
NA,13.3,0.73,0.43,56.9,0.064,35.5,269,0.9966,3.15,0.62,11,-2,11,0
NA,7.3,0.59,0.26,7.2,0.046,35,224,1.01687,3.37,0.6,8.7,0,8,0
NA,7.3,0.17,0.39,6.5,0.067,112,352,0.99508,3.05,0.51,12,-1,8,0
NA,6.6,0.21,0,3,0.115,20,421,0.98526,3.45,0.63,5.2,0,7,0
NA,8.5,0.19,0.49,1.7,0.302,150,117,0.9938,3.16,0.51,12.8,0,9,3
NA,8.3,2.26,0.69,1.8,0.058,28,230,0.9907,2.09,1.96,9.3,2,7,3
NA,14.5,0.29,0.76,30.2,0.068,86,160,0.9944,3.14,0.47,8.7,-1,8,0
NA,5.3,0.22,0.31,1.7,0.075,36,117,1.0375,3.26,0.33,14.6,0,6,3
NA,6.3,1.59,0.23,2.9,0.047,127,365,1.02021,3.28,0.48,8.5,0,7,1
NA,0,2.17,1.43,2,0.083,17,242,0.99616,4.35,0.08,9.8,-1,8,0
NA,6.1,0.64,0.27,33.4,0.048,30,298,0.99498,3.21,0.51,9.9,0,7,3
NA,7,0.23,0.23,5.7,0.123,86,312,0.9954,3.04,0.54,9.4,1,7,4
NA,6.9,0.585,0.28,2.2,0.045,39,93,0.98914,3.31,0.43,10.7,0,7,3
NA,6.8,0.32,0.01,16.1,0.444,330,196,0.98623,3.15,0.59,9.3,-1,7,1
NA,13.5,0.42,0.22,10.5,0.025,40,216,0.95219,3.33,0.6,9.6,0,7,2
NA,8.1,0.23,0,5.2,0.043,57,176,1.01203,3.86,0.55,6.3,0,9,2
NA,6.7,0.28,0.44,24.4,0.048,39,137,0.9942,3.24,0.35,11.4,1,7,1
NA,7,0.15,1.05,7.1,0.051,29,149,1.02894,2.96,0.92,9,-1,7,3
NA,8.4,0.35,0.24,27.3,0.034,531,133,0.9906,3.34,0.5,12,0,7,0
NA,8.3,0.19,2.04,48,0.037,38,180,0.9926,3.06,0.71,10,0,9,3
NA,12.8,1.52,0.44,59.4,0.065,56,235.5,0.95684,4.48,0.41,12.7,1,8,0
NA,7.4,0.4,0.3,10.1,0.112,37,194,0.98343,3.2,0.63,11.7,0,8,2
NA,0.1,1.21,0.31,1.3,0.448,47,98,0.98907,3.42,0.5,10.1,0,8,0
NA,7.8,0.57,0.2,9.9,0.577,108,181,1.04239,3.19,0.04,10.9,1,8,2
NA,8.6,0.26,0.24,2.2,0.254,6,169,0.9903,4.64,0.42,12.9,-2,8,3
NA,6.9,0.23,0.35,14.9,0.174,128,212,1.01119,3.34,1.41,8.9,1,8,2
NA,6.7,1.74,0.66,8.9,0.042,75,111,0.9968,3.25,0.8,11,0,7,0
