"TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
4,6.4,2.21,0.56,40.4,0.055,27,45,1.04577,1.77,0.45,9.1,"1",7,"2"
6,8.3,0.28,0.27,13.2,0.036,31,431,0.99408,1.95,0.02,13,"1",7,"4"
4,8,0.25,0.41,44.8,0.056,17,129,1.03564,3.2,0.52,16.6,"0",9,"2"
3,7.4,0.36,0.06,33.8,0.05,34,39,0.99615,4.05,0.48,16,"-1",8,"1"
4,5.7,0.25,0.27,10.8,0.05,58,333,0.95643,3.1,1.28,9.8,"0",6,"3"
0,22.2,0.34,0.49,11.8,0.09,56,348,0.99967,4.08,0.66,6.5,"-1",14,"1"
0,6.9,1.45,0.36,16.2,0.048,44,147,0.9972,3.3,0.52,2.1,"0",6,"0"
3,7.9,0.38,1.45,30.8,0.22,21,138,0.99796,3.52,0.49,15.9,"0",9,"1"
4,7.9,0.45,0.46,58.8,0.92,127,318,0.99904,3.05,1.68,9.8,"1",8,"1"
5,14.8,1.17,0.98,1.5,0.027,138,138,0.99,3.3,0.33,12.5,"0",8,"2"
0,8.6,1.035,0.35,6,0.073,12,54,1.03291,3.37,1.42,9.9,"1",10,"0"
4,28.9,1.08,0.49,59.6,0.055,30,188,0.99066,2.69,0.91,11,"0",8,"2"
0,6.9,0.3,0.29,1.3,0.088,24,189,1.02393,3.29,0.59,9.5,"1",7,"1"
4,3.1,1.65,0.35,9.2,0.092,54,126,0.9893,3.04,0.7,9.7,"0",8,"1"
0,3.2,0.47,0.3,41.7,0.045,13,135,0.9976,1.33,0.7,9.4,"0",9,"0"
5,13,0.34,0.46,4.7,0.029,72,94,1.00111,1.42,1.74,17.3,"1",7,"2"
5,9.3,0.14,0.25,7.9,0.17,21,82,1.0241,3.26,1.17,13.7,"1",7,"2"
1,19.3,1.75,0.36,52.3,0.075,63,48,1.02917,3.34,1.85,13.5,"-2",9,"1"
3,5.8,0.36,0.5,15,0.047,63,178,1.00091,3.87,0.45,8.8,"0",7,"1"
4,15.5,0.19,0.26,54,0.039,30,124,0.98998,3.32,0.48,12.1,"0",6,"2"
4,11,0.23,1.42,37.8,0.035,34,434,0.9976,3.35,0.52,9.4,"0",7,"4"
0,6.6,0.24,2.32,1.4,0.046,242,234,1.03659,3.11,0.39,9.9,"-1",7,"1"
4,6.3,0.36,0.26,13.2,0.051,54,201,0.9976,3,1.62,10.8,"1",7,"1"
4,7.5,1.43,0.31,44.2,0.057,22,167,0.9938,0.69,1.17,4.7,"1",8,"2"
0,24.7,1.63,1,1.9,0.846,15,100,0.96939,2.28,1.68,4,"1",14,"0"
0,8,0.42,0.32,2.5,0.601,26,250,0.99639,3.32,1.99,15.6,"0",9,"0"
4,7.1,0.28,0.64,14.9,0.512,128,105,0.9972,3.98,0.48,9.2,"1",8,"2"
3,7.5,0.4,0.27,7.1,0.049,205,321,0.99579,3.16,0.38,9.4,"1",8,"1"
3,6.3,0.28,0.35,2.1,1.197,39,203,0.95511,3.26,2.14,9.2,"-1",7,"0"
1,6.8,1.94,0.04,3.5,0.532,25,133,1.0354,3.17,0.42,10.2,"-2",7,"1"
4,15.1,0.44,0.22,4.3,0.249,49,99,1.02618,3.26,0.53,10.8,"-1",7,"1"
2,16,0.23,0.42,12.5,0.094,49,169,0.99699,3.49,0.9,9.3,"-1",7,"1"
4,6.2,0.16,0.26,5.7,0.04,208,220,0.99622,2.29,0.58,10.6,"0",7,"2"
3,16.9,0.19,0.41,20.8,0.046,51,169,0.9954,3.14,1.65,9.8,"-1",7,"1"
0,5.8,0.24,3.26,53.1,0.056,23,65,0.99755,4.12,0.56,9.7,"-2",6,"0"
0,14.6,0.54,0.52,8.6,0.088,16,48,0.9981,2.42,1.08,4.2,"1",9,"0"
4,7,0.34,0.92,9.8,0.074,29,108,0.99977,2.51,0.49,16.7,"0",8,"3"
2,7.6,0.54,0.03,48.9,0.094,41,110,0.9982,4,0.8,9.2,"-1",10,"1"
1,6.3,0.24,0.06,1.8,0.88,6,165,0.97646,4.22,0.35,12.2,"-2",7,"1"
0,16.3,0.33,0.49,2.5,0.631,8,329,1.01598,2.62,0.82,6.3,"-1",13,"1"
6,14.7,0.24,0.84,6.4,0.048,143,214,0.9944,2.46,0.55,10.5,"1",7,"4"
3,8.3,0.17,0.3,56,0.034,33,125,0.99152,3.55,0.49,5.7,"-1",7,"3"
3,9.5,0.2,0.37,6.8,0.535,227,625,0.9738,2.27,0.45,10.9,"0",7,"1"
5,12.5,0.24,0.3,43.6,0.043,32,156,1.03256,4.02,0.07,10.1,"1",7,"3"
4,6.9,2.75,0.33,7.7,0.048,26,158,0.99082,4.14,0.58,16.9,"0",7,"3"
0,7.3,1.37,0.24,38.7,0.048,22,615,0.99044,4.04,0.35,12,"-1",8,"1"
4,8,1.3,1.53,13.2,0.046,26,113,0.9983,3.23,0.37,8.4,"0",9,"4"
0,10.2,0.34,0.44,54.5,0.045,21,138,0.9924,2.79,0.46,8.9,"2",8,"0"
2,8.1,0.45,0.56,3.3,0.096,26,159,1.00573,3.6,1.18,18.2,"0",9,"1"
1,23.6,0.4,0.5,1,0.054,174,489,0.99013,3.66,0.42,15.4,"-2",7,"1"
1,6.1,0.24,0.96,18.15,0.097,41,146,1.00278,3.3,0.6,11.5,"-2",7,"1"
4,7,0.73,0.49,8,1.185,44,164,0.97963,4.34,0.53,9,"0",8,"1"
3,9.4,1.45,0.38,1.6,0.045,42,408,0.99534,4.19,0.46,6.9,"0",10,"0"
5,4.2,0.69,0.58,34.9,0.188,104,161,0.954,3.06,0.41,13.1,"1",9,"1"
5,17.2,0.37,1.72,6.5,0.028,24,84,0.9909,2.75,0.18,11.7,"1",7,"3"
0,7.9,0.04,0.35,4.9,0.628,66,195,0.99413,3.04,0.55,11,"-1",9,"0"
4,11.8,0.46,0.26,6.8,0.298,36,120,0.96461,3.17,0.32,5.6,"0",6,"0"
7,7.4,0.19,0.48,12.8,0.053,48.5,122,0.99778,4.02,1.89,2.7,"2",8,"3"
5,7.7,0.43,1.58,2.4,0.214,58,178,0.9994,3.24,1.77,11.2,"1",11,"3"
0,6.5,0.29,0.3,2,0.142,228,92,0.9927,3.49,1.98,9.9,"1",7,"0"
4,2.9,0.63,1.63,23.5,0.327,24,144,0.9917,3.19,0.48,10.5,"0",7,"2"
5,7.5,0.27,0.36,9.3,0.046,352,175,1.03574,3.16,0.34,10.8,"1",7,"3"
3,13.2,0.845,0.01,2.9,0.172,108,53,1.00888,3.32,0.5,11,"1",9,"1"
4,7.3,0.18,0.31,32.1,0.216,20,210,0.96244,3.84,1.6,10.8,"-1",8,"3"
3,12.3,0.74,0.35,2.4,0.042,44,190,0.992,3.25,0.17,10.4,"-1",6,"0"
0,12.4,0.38,1.7,2,0.08,40,259,0.9961,1.03,0.86,7.4,"1",8,"0"
4,7.6,0.43,0.35,21.3,0.489,264,132,0.95018,3.37,0.5,14.7,"1",7,"1"
3,3.7,0.24,0.31,13.1,0.05,26,180,0.94955,3.05,0.53,10.4,"-1",8,"0"
2,15.4,0.24,0.99,18.2,0.044,38,286,1.00467,3.84,0.6,6.9,"-1",6,"1"
0,0.6,3.06,0.42,12.2,0.054,3,117,0.99506,2.83,1.51,12.3,"2",9,"0"
3,8.4,0.785,0.77,8.4,0.047,23,431,0.98981,3.85,0.54,11.1,"-1",5,"3"
3,9.2,0.64,0.3,2.25,0.158,8,137,0.93293,2.72,0.62,9.9,"-1",7,"1"
4,7.2,0.15,1.42,38.4,0.038,45,110,1.00899,4.72,0.43,12.6,"0",8,"2"
0,9.1,0.89,1.73,2,0.124,172,25,0.99516,2.69,1.23,16,"0",10,"0"
3,13.6,0.23,1.22,2.2,0.039,46,11,0.9982,4.16,0.45,10.6,"0",8,"1"
4,7,0.26,0.42,37.1,0.028,44,205,0.97409,4.34,2.36,11.3,"-1",7,"2"
1,7.5,0.6,1.75,3.85,0.546,36,147,0.95709,2.05,1.91,11.8,"-1",8,"0"
2,6.2,1.4,1.64,15.8,0.057,39,248,1.02858,2.02,1.72,9.2,"-1",7,"3"
4,8,0.27,1.86,50.9,0.047,38,338,0.94096,3.24,0.95,12.633333333,"0",7,"2"
3,7.8,0.13,0.29,5.3,0.051,238,545,0.94397,2.77,1.32,7.4,"-1",7,"1"
5,7.2,0.72,0.51,6.3,0.048,13,103,0.95501,3.71,1.03,11.4,"0",8,"2"
3,4,1.04,0.19,43.3,0.05,294,174,1.01533,3.09,2.89,11.5,"-1",8,"0"
3,7.4,0.37,0.32,11.2,0.305,46,233,1.03005,3.06,0.46,10.3,"0",8,"1"
4,12.2,0.19,1.1,11.2,0.061,267,115,0.97994,2.99,1.99,9.3,"0",8,"2"
0,7.6,1.7,1.23,3.4,0.048,104,116,0.9944,4.25,0.41,9.4,"0",8,"2"
0,1.9,0.47,0.29,9.8,0.174,24,37,0.99514,3.21,0.61,10.9,"-1",8,"0"
0,7.4,0.22,1.22,2,0.26,36,138,1.03038,2.62,2.1,11,"-1",6,"0"
0,8.4,0.39,0.1,1.7,0.075,41,25,0.99581,3.09,0.43,9.7,"-1",9,"0"
4,7.1,0.22,1.87,59.8,0.23,15,104,1.03646,4.23,0.42,8.7,"1",7,"2"
6,5.6,0.03,0.95,9.9,0,88,214,1.03205,3.25,1.98,13,"2",6,"2"
5,19.8,0.32,0.33,0.7,0.027,488,66,1.02566,3.11,3.65,11.8,"1",7,"2"
5,7.1,0.21,0.32,2.2,0.098,28,141,0.993,4.34,0.68,10,"0",8,"1"
2,13.8,0.23,0.42,2.2,0.096,146,178,0.99318,3.41,0.62,10.6,"-1",8,"0"
5,8.8,0.31,1.41,4,0.595,30,69,0.99787,3.47,0.45,11.2,"1",10,"2"
4,5.8,1.075,0.1,47.2,0.044,28,63,1.02787,3.01,0.47,6.4,"1",7,"1"
4,6.3,0.16,0.3,27.6,0.056,33,549,0.99825,2.9,0.44,6.1,"-1",8,"2"
1,7.3,0.38,0.2,6.5,0.271,482,102,0.99304,2.85,0.55,16.1,"-1",8,"1"
2,5.8,0.18,0.21,6.6,0.04,50,726,0.94294,3.29,0.62,10,"-1",6,"2"
3,3.4,0.29,0.38,1.2,0.059,237,154,1.03069,3.28,0.36,18.2,"-1",6,"2"
4,6.8,0.38,0.26,3.6,0.035,167,144,0.97228,3.18,0.47,13.6,"-1",7,"0"
2,9,0.33,0.42,67.2,0.499,58,464,0.99776,3.09,0.55,9,"-1",8,"1"
2,17.3,1.25,1.3,35.15,0.031,33,631,0.99296,3.92,0.68,5.3,"-2",7,"2"
4,2.1,1.65,0.27,10.9,0.359,29,130,0.99496,2.51,0.77,2,"-1",7,"1"
5,16.8,0.96,0.32,59.2,0.419,22,251,0.99072,3,0.37,11.1,"0",7,"0"
5,7.2,0.2,1.44,46.6,0.028,41,103,0.97085,2.17,0.53,9.2,"1",8,"3"
6,15,2.01,1.18,12.8,0.079,17,158,1.00364,2.53,0.74,17.4,"1",9,"0"
5,3.2,0.52,0.36,1.5,0.042,90,121,0.98976,4.31,1.29,18.3,"0",6,"3"
4,3.1,0.25,0.28,7.7,0.871,402,132,1.045,1.85,0.81,9.4,"0",7,"3"
0,11.2,1.19,0.84,2.2,0.219,23,28,0.99486,3.31,0.75,12.6,"-1",10,"0"
2,6.6,0.6,0.53,6.2,0.053,22,233,1.00314,2.94,0.35,9.4,"-1",7,"0"
4,7.8,0.24,1.27,10.3,0.18,12,182,0.96793,3.51,0.45,8.1,"0",9,"0"
4,7.5,3.06,1.59,4.9,0.028,25,158,0.9922,3.68,0.49,16.8,"-1",6,"4"
4,5.8,0.32,0.15,1.1,0.414,26,83,0.97401,2.77,0.4,11.4,"0",6,"2"
0,10,0.93,0.37,1.9,0.08,23,308,1.02107,3.13,0.55,9.5,"1",11,"0"
4,14.6,0.38,1.51,73.7,0.057,132,137,1.01893,4.02,1.98,12.1,"0",8,"3"
4,1.5,0.63,0.32,6.4,0.034,48,67,0.9924,3.23,0.55,11.8,"0",8,"0"
2,6.6,0.13,1.27,3.3,0.04,76,179,0.9955,4.23,0.41,9,"-1",8,"2"
0,7.5,0.065,0.1,13,0.228,93,190,0.99741,3.1,0.5,3.2,"1",8,"1"
5,2.9,0.27,0.27,1.6,0.044,312,98,0.99299,3.29,0.44,3.2,"0",8,"1"
4,8.2,0.34,0.4,44.6,0.028,45,100,0.98958,3.2,1.77,13.2,"-1",8,"0"
5,8.2,0.53,0.38,1.8,0.04,29,106,0.99062,2.88,0.6,18.3,"1",9,"3"
3,8.3,1.21,0.34,7.8,0.05,84,120,0.97462,3.21,0.65,17.5,"-1",8,"1"
4,7.2,0.42,0.15,4.75,0.012,10,115,0.99609,2.95,0.42,13.7,"0",8,"4"
5,9.3,0.19,0.29,2.4,0.042,44,189,0.99304,3.99,0.5,10.3,"1",7,"3"
3,1.6,0.33,0.31,7.7,0.047,307,160,0.99226,3.11,0.24,8.8,"0",8,"2"
5,10.7,0.63,1.18,55.6,0.039,14,431,0.99522,2.3,0.43,15.5,"1",8,"2"
4,6.2,1.53,0.32,1.1,0.115,74,66,0.99096,2.25,0.91,8.9,"0",7,"0"
3,13.8,0.35,0.36,13.6,0.447,291,132,0.96793,3.25,0.63,7,"-1",8,"0"
3,7.2,0.16,0.32,12.1,0.04,50,243,1.0458,3.27,0.96,10,"-1",8,"2"
3,7.6,0.26,0.42,2.3,0.044,21,103,0.9972,4.15,1.37,10.9,"-1",8,"2"
3,7.7,0.34,0.35,15.3,0.638,74,148,0.99628,1.9,2.02,15.3,"0",8,"1"
4,0.4,0.44,0.04,48.4,0.444,23,179,0.99228,4.43,0.61,9.9,"0",7,"3"
2,6.3,0.38,0.66,1.5,0.044,51,178,0.99238,4.05,0.77,14.5,"-1",7,"0"
3,6.1,0.91,0.36,88.1,0.036,250,451,1.04541,3.47,0.68,9.1,"-1",7,"0"
5,13.8,0.25,0.49,53.3,0.342,305,161,0.9937,3.01,0.28,12.1,"1",8,"3"
2,8.9,0.27,1.26,10.7,0.051,19.5,166,0.99669,3.13,0.48,16.8,"-1",10,"2"
4,16.2,0.58,0.26,11,0.03,2,82,0.99402,1.9,0.36,11.2,"1",7,"4"
5,6.6,0.155,1.43,13.3,0.025,357.5,637,0.9934,3.18,0.61,3.9,"0",8,"3"
4,8.7,1.225,0.18,47.2,0.09,4,11,0.99745,3.31,1.59,9.5,"1",9,"1"
4,6.1,0.5,0.38,28.6,0.144,46,65,1.01902,5.14,0.64,11.4,"0",7,"3"
7,17.8,0.21,0.3,1.8,0.034,138,118,0.9917,3.3,1.07,11.2,"1",8,"4"
3,7.4,0.01,1.42,8.4,0.039,52,571,1.03166,3.09,0.66,8.8,"0",8,"0"
0,14.6,0.55,0.39,2.5,0.149,15,27,0.9959,2.14,0.68,9.7,"0",8,"0"
3,3.2,0.32,0.27,13.4,0.052,50,191,0.9989,3.22,0.53,9,"1",8,"1"
0,8.6,1.695,0.11,4.1,0.481,17,101,0.96126,2.66,0.38,12.5,"0",9,"0"
0,6.6,0.22,1.32,137.6,0.316,39,118,0.99834,3.05,1.79,9.1,"0",7,"1"
0,6.6,0.51,0.25,50.8,0.045,45,178,1.04206,4.26,0.43,15,"0",7,"1"
5,1.3,0.27,1.44,1.7,0.046,279,87,0.9936,2.17,0.42,10.9,"0",8,"2"
2,14.3,0.99,0.15,1.2,0.053,61,573,1.03601,3.86,0.43,9.2,"-1",8,"1"
0,20.6,0.24,0.46,2.2,0.033,37,111,1.02888,3.31,0.25,5.4,"-1",7,"2"
3,7.3,0.13,1.61,101.1,0.077,121,223,0.9728,2.02,0.53,4.4,"0",12,"0"
0,7.8,0.625,0.16,2,0.286,132,144,0.9962,3.14,0.23,11,"2",9,"0"
0,7,0.42,0.26,8.8,0.088,79,39,1.08975,2.81,0.55,9.2,"-2",8,"0"
3,9,0.655,0.24,48.8,0.055,138,82,0.96197,2.71,0.88,5.3,"1",7,"3"
7,0.8,0.46,1.94,6.4,0.356,41,193,0.9928,3.6,0.35,12.2,"2",8,"4"
4,6.3,0.65,0.4,51.1,0.038,59,35,1.00701,3.12,0.04,9.5,"0",8,"2"
3,7.6,0.18,0.46,46.4,0.055,58,614,1.02397,3.14,0.54,9.9,"-1",8,"2"
0,10,0.35,0.53,2.6,0.07,16,16,0.9972,3.15,1.71,11,"1",12,"0"
0,6.5,0.33,0.27,1.2,0.142,34,137,0.9934,3.37,1.47,9.4,"1",7,"1"
4,5.6,0.835,0.16,141.15,0.051,128,389,0.99564,3.67,0.39,10.8,"0",6,"3"
5,7.7,0.34,0.28,6,0.242,31,359,0.99815,3.27,0.72,9.2,"1",8,"3"
4,12.4,0.79,0.43,1.6,0.769,31,468,0.9916,4.02,0.5,7.4,"0",9,"3"
3,6.1,0.32,0.32,8.3,0.036,19,455,1.00919,4.23,0.52,12.6,"-1",7,"0"
3,6.3,1.53,0.43,5.9,0.448,82.5,260,1.0167,3.12,0.66,15.7,"0",7,"1"
0,4.7,0.35,0.3,58.9,0.095,156,97,1.01223,2.04,0.41,11,"-1",7,"0"
4,11.1,0.56,0.22,9.8,0.049,50,47,1.03157,3.68,0.42,17.7,"0",6,"3"
0,6.4,0.25,0.04,39.2,0.437,27,114,0.99114,3.31,0.58,12,"-1",7,"1"
5,5.5,0.42,1.48,5,0.055,43,589,0.99013,3.14,0.88,18.5,"1",7,"0"
3,9.3,1.17,0.57,31.6,0.051,46,139,1.03656,3.18,0.91,13.2,"0",7,"3"
0,8.7,0.78,1.07,1.7,0.079,12,122,0.99577,3.21,1.23,15.6,"0",10,"0"
4,6.5,0.61,0.28,2,0.039,51,113,0.99469,3.11,0.6,10.9,"-1",7,"2"
0,8.8,0.86,0.36,39.6,0.094,239,202,0.9982,3.23,0.51,9.3,"0",9,"0"
4,5.7,0.93,0.26,6.8,0.167,61,184,1.03903,3.09,0.46,15.1,"1",7,"2"
3,6.6,0.37,0.52,13.9,0.082,146,26,1.0565,3.22,0.56,9.5,"0",10,"3"
0,18.7,0.43,0.56,1.9,0.132,154,60,1.07733,4.83,0.58,8.7,"1",12,"0"
4,7,0.23,1.94,3.2,0.775,150,140,1.02365,3.02,1.29,13.3,"0",10,"2"
4,12.3,0.3,0.22,13.7,0.178,35,191,0.9966,3.08,0.4,9.3,"0",8,"3"
4,0.4,0.32,0.26,9.6,0.033,95,143,1.00784,3.25,0.52,20.2,"-1",7,"2"
5,13.5,2.03,0.28,14.7,0.162,37,353,0.99792,3.37,0.39,6.1,"0",7,"2"
6,0.3,0.31,0.49,53.3,0.036,34,114,1.03461,2.12,0.41,6.1,"1",8,"3"
4,6.7,0.31,0.34,1.6,0.04,23,280,0.97574,5.79,0.47,11.7,"0",8,"2"
0,6.8,0.04,0.09,25.7,0.04,43,339,1.03736,2.34,0.46,16,"0",7,"1"
5,0.4,0.38,0.79,14.8,0.05,37,45,0.97751,3.12,0.69,14.5,"-1",8,"2"
3,10.4,0.17,0.27,1.4,0.032,39,45,0.99254,3.14,0.67,11.3,"0",7,"3"
4,6.6,0.18,0.28,41.5,0.041,53,521,0.99207,3.13,0.45,9.3,"0",7,"2"
2,7.6,0.29,1.48,35.1,0.051,100,146,0.9939,3.16,0.39,12,"-1",8,"1"
5,6.5,0.28,0.65,17.6,0.152,34,232,0.9923,3.91,0.47,3,"1",7,"2"
3,6.9,0.59,0.82,38.2,0.415,34,389,0.99165,2.13,0.66,12.3,"-2",8,"0"
6,6.6,0.18,0.35,1.5,0.049,104,241,1.03452,3.7,0.04,10.2,"1",7,"2"
3,2.3,0.38,0.25,9.8,0.051,39,191,0.99548,3.28,0.55,9.8,"0",8,"0"
3,9,0.8,0.12,34,0.192,8,59,1.01622,4.26,1.38,23.2,"-1",10,"2"
0,1.9,0.33,0.95,30.9,0.087,16,105,0.97143,3.05,0.49,9.2,"1",8,"0"
4,13.6,0.29,0.52,1.4,0.666,52,148,0.98378,2.07,0.54,9,"0",8,"3"
4,7.3,1.18,0.3,13,0.067,46,140,1.08993,3.72,0.58,7.6,"0",8,"1"
3,16.9,0.41,1.24,33.5,0.042,92,293,0.95241,2.86,1.99,9.7,"-1",8,"2"
4,14.3,0.35,1.24,7.4,0.048,26,105,0.98962,3.19,0.75,12.4,"-1",7,"3"
0,6,0.76,1.8,3.3,0.303,26,139,0.94672,2.34,0.62,9.5,"-2",7,"0"
0,6.4,0.12,0.28,11.4,0.056,15,19,1.01367,3.23,0.61,12,"-1",7,"2"
3,19,1.48,0.64,73.6,0.073,238,220,1.01453,2.04,0.54,9.2,"0",8,"2"
5,6.3,0.18,0.46,12.6,0.087,155,195,1,3.05,0.34,10.4,"-1",8,"1"
0,17.8,2.37,0.66,4.2,0.038,41,147,0.95981,3.37,1.97,8,"0",7,"1"
4,9.7,1.35,1.54,6.4,0.051,42,156,0.9891,3.03,0.99,13.3,"0",7,"1"
4,6.5,1.74,0.19,7.1,0.048,196,530,0.99364,3.34,0.72,10.1,"0",7,"3"
3,5.5,0.24,0.11,1.7,0.046,127,113,0.99224,3.22,0.48,10,"0",6,"2"
7,6.8,0.18,0.3,12.8,0.062,42,132,1.01817,2.85,2.25,8.9,"2",7,"3"
3,6.6,1.01,0.02,2.1,0.052,31,16,0.95273,2.2,0.91,9.5,"0",7,"0"
4,6.7,0.96,1.07,1.4,0.025,178,76,0.98398,1.63,0.44,11,"0",7,"3"
3,5.1,2.68,2.06,1.1,0.564,33,147,0.99445,3.15,1.84,13.7,"0",7,"0"
0,6.8,2.01,0.91,4.1,0.645,110,128,1.0395,3.46,0.72,10.2,"0",7,"0"
2,9.8,0.44,0.42,2.8,0.076,35,167,1.01102,3.12,0.39,9.5,"-1",11,"0"
4,6.8,0.27,0.31,14.7,0.039,259,170,1.01824,4.17,0.66,14.2,"0",7,"0"
0,9.9,0.08,1.25,2.2,0.547,59,26,0.95523,2.42,0.78,12.5,"0",11,"0"
0,6.2,0.3,0.3,23.9,0.041,29,82,0.89652,3.31,0.6,18.2,"0",7,"0"
0,8.8,0.22,0.21,2.6,0.588,49,108,0.98675,3.1,0.55,17.4,"0",8,"0"
4,7.6,0.7,0.38,1.9,0.044,173,188,0.98962,3.18,0.5,12.4,"0",7,"3"
0,7,0.33,0.33,2.1,0.04,176,160,0.9828,4.21,1.88,11,"-2",8,"1"
6,5.8,0.52,0.3,42,0.024,45,159,1.03792,2.95,2.05,13.7,"1",6,"4"
5,4.1,0.18,0.3,6.1,1.214,45,136,0.94727,1.88,0.83,9.9,"1",8,"3"
4,11.2,0.85,0.62,6.9,0.036,56,153,0.9978,4.35,1.13,6.8,"0",9,"3"
3,17.5,0.25,1.83,14.3,0.049,145,140,0.99154,3.17,0.48,13.4,"-1",8,"2"
7,6.2,0.48,1.06,1.8,0.034,62,132,0.991,3.68,0.38,12.6,"1",8,"4"
2,0.3,0.21,0.28,7.5,0.07,80,196,1.0955,2.87,1.03,9.4,"-1",7,"0"
0,7,0.18,1.16,10.3,0.062,228,103,0.96348,2.77,2.03,10.6,"1",7,"0"
2,1.4,1.64,1.97,75.6,0.116,6,561,0.96292,2.94,0.44,9.1,"-1",8,"2"
2,3.2,0.22,0.52,2.9,0.066,12,276,0.9969,3.25,2.3,7.6,"-1",10,"2"
6,9.2,0.22,0.46,6.3,0.032,272,121,0.99214,2.21,1.52,5.5,"1",7,"4"
0,9.4,0.37,0.3,27.1,0.04,49,139,0.99021,3.44,1.88,19.2,"-1",8,"1"
2,6.3,0.18,0.36,64.8,0.034,161,531,0.99074,3.16,0.52,11,"-2",7,"0"
3,6.9,0.32,1.7,60.7,0.05,267,180,0.99463,3.27,1.21,11.3,"-1",8,"3"
3,10.7,0.28,0.35,28.9,0.054,163,273,0.99178,4.2,0.7,10.7,"0",8,"2"
4,5.7,1.08,0.6,53.5,0.064,296,133,1.0439,3.68,1.35,10.3,"1",7,"3"
3,5.7,0.77,0.12,2.9,0.082,157,74,0.971,2.03,0.64,10.4,"-1",10,"2"
7,11.4,0.23,3.09,70.6,0.421,38,150,0.995,2.45,0.78,17.9,"1",8,"3"
4,6.7,0.28,1.11,12.5,0.035,199,305,0.98535,2.88,1.65,5.2,"0",7,"2"
5,14.6,0.51,1,11.8,0.037,55.5,467,1.01275,3.1,1.62,7.8,"1",9,"2"
4,11.2,0.14,0.33,7.8,0.104,116,494,0.99057,2.99,1.47,20.9,"0",8,"3"
6,7.8,0.33,0.62,9.3,0.038,46,132,1.01853,3.23,0.43,13.4,"1",8,"3"
4,6,0.27,0.52,51.8,0.816,63,515,0.99494,3.1,0.86,9,"0",7,"1"
2,6.3,0.24,0.55,1.4,0.083,468,216,0.99931,2.9,1.82,2.8,"-1",7,"0"
0,12,1.93,0.44,42,0.145,154,117,0.94651,3.27,1.51,4.6,"1",10,"0"
3,6,1.39,0.22,12.15,0.116,42,163,0.9957,3.2,0.46,10.1,"0",7,"3"
